,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
800,,Give your uncle a kiss.,You should be proud.,,,,We can't beat the Dothraki. We don't have the numbers.
801,,( grunts ),"Thank you, Archmaester.",,,,We don't have the support of the other houses!
802,,- ( Euron screaming ) - ( grunts ),Come here.,,,,"No, we have something better. We have the Iron Bank."
803,,Euron: Little Theon!,All these manuscripts and scrolls are rotting away.,,,,You should've listened more when Father spoke about the importance of gold.
804,,"Ah, come on, you cockless coward.",I need you to make copies of them.,,,,"Oh, I know it's boring for you."
805,,I have her.,You were expecting a reward.,,,,You just wanted to hunt and ride and fight.
806,,Come and get her.,Your reward is not being immediately expelled from the Citadel.,,,,"But I listened, I learned."
807,,( screaming echoes ),You'd better get started.,,,,Highgarden bought us the most powerful army in Essos--
808,,( choking ),And careful of the paper mites.,,,,the Golden Company.
809,,- ( splashes ) - ( cackling ),They like flesh as well.,,,,"20,000 men, horses, elephants, I believe."
810,,( whimpering ),We need to find Euron Greyjoy's fleet and sink it.,,,,The Golden Company is not here.
811,,( sniffles ),"Your Grace, he's already destroyed a good portion of our fleet.",,,,They're in Essos.
812,,( music playing ),To send our remaining ships after him--,,,,How is a mercenary company in Essos going to help us?
813,,,I'm not talking about sending our ships after him.,,,,Do you really think Euron Greyjoy turned tail
814,,,Would you have to go yourself?,,,,and sailed back to the Iron Islands?
815,,,Euron's ships could be anywhere,,,,Do you think he abandoned
816,,,or in more than one place.,,,,the chance to marry the queen?
817,,,You'd be flying around the open seas alone,,,,No one walks away from me.
818,,,for who knows how long.,,,,He's sailing with his fleet to Essos.
819,,,I wouldn't be alone.,,,,He's going to ferry the Golden Company back here
820,,,"I would have Drogon, Viserion, and Rhaegal.",,,,to help us win the war for Westeros.
821,,,What can anyone do to them?,,,,"You plotted with Euron Greyjoy without telling me,"
822,,,Missandei: They can still do something to you.,,,,the commander of your armies?
823,,,It only takes one arrow.,,,,"And you conspired with Tyrion,"
824,,,It's too great a risk. You're too important.,,,,"the man who murdered our father,"
825,,,What about Casterly Rock?,,,,"without telling me, your queen."
826,,,The Unsullied will be there soon.,,,,I didn't conspire with him.
827,,,And what will they face?,,,,You met with him in secret without my consent.
828,,,A difficult situation.,,,,You planned to promote my enemies' interests.
829,,,They know we're coming.,,,,That is the definition of conspiracy.
830,,,Yes. Cersei believes my sole purpose in life,,,,I pledged to ride north.
831,,,is to destroy House Lannister.,,,,I intend to honor that pledge.
832,,,She will be ready.,,,,- And that will be treason. - Treason?
833,,,- No one has ever taken the Rock. - Man: Archers!,,,,"Disobeying your queen's command, fighting with her enemies."
834,,,Tyrion: The Lannister Army is still the army my father built.,,,,What would you call it?
835,,,- Come on! - Tyrion: Well-trained and well-provisioned.,,,,Doesn't matter what I'd call it.
836,,,"10,000 men at least.",,,,I told you no one walks away from me.
837,,,They will see us coming.,,,,Are you going to order him to kill me?
838,,,They will be ready.,,,,I'm the only one you have left.
839,,,( men shouting ),,,,"Our children are gone, our father is gone."
840,,,- Man: Draw! Loose! - Man ♪2: Loose!,,,,It's just me and you now.
841,,,Tyrion: The gates of Casterly Rock are impregnable.,,,,There's one more yet to come.
842,,,( men grunting ),,,,"Give the order, then."
843,,,The fight up the walls will be hard.,,,,I don't believe you.
844,,,We will be at a disadvantage.,,,,( chatter )
845,,,- ( grunts ) - Many men will die.,,,,- ( knocking on door ) - Come in.
846,,,Just as my father said they would.,,,,Samwell Tarly.
847,,,Interesting thing about my father--,,,,I wasn't sure if you'd remember me.
848,,,he built our house up from near ruin.,,,,I remember everything.
849,,,"He built our army, he built Casterly Rock as we know it,",,,,( door closes )
850,,,but he didn't build the sewers.,,,,You helped us get beyond the Wall.
851,,,"That was beneath him,",,,,"- You're a good man. - Oh, well, thank you,"
852,,,so he gave the job to the lowest person he could find--,,,,"but, um, I'm not sure that I am."
853,,,me.,,,,What happened to you beyond the Wall?
854,,,"He was right, I was low.",,,,I became the Three-Eyed Raven.
855,,,"The company I kept, low.",,,,Oh!
856,,,"Women, mostly.",,,,I don't know what that means.
857,,,They weren't welcome at the Rock.,,,,I can see things that happened in the past.
858,,,Father disapproved of that sort of behavior.,,,,I can see things happening now
859,,,"Couldn't walk them through the front gates,",,,,all over the world.
860,,,"I couldn't have them in my chambers,",,,,Why did you come to Winterfell?
861,,,"so in the process of building the sewers,",,,,Um...
862,,,I threw in something for myself.,,,,Jon's the one to lead the fight against the dead.
863,,,It was a passage that began,,,,I know he is.
864,,,in an out of the way cove by the sea,,,,"But he can't do it alone,"
865,,,and ended beneath one of the main guard towers.,,,,so I've come here to help him.
866,,,No better place for low pursuits than beneath the ground.,,,,He's on his way back to Winterfell
867,,,Casterly Rock is an impregnable fortress.,,,,with Daenerys Targaryen.
868,,,"( grunts, wheezes )",,,,You-- you saw this in--
869,,,"But as a good friend of mine once said,",,,,in a vision?
870,,,"""Give me 10 good men and I'll impregnate the bitch.""",,,,Oh.
871,,,- ( grunting ) - ( all shouting ),,,,He needs to know the truth.
872,,,And so it begins.,,,,The truth about what?
873,,,They will face the bulk of the Lannister forces.,,,,About himself.
874,,,They will be outnumbered.,,,,No one knows. No one but me.
875,,,They will have less armor and fewer weapons.,,,,Jon isn't really my father's son.
876,,,But my sister's armies fight for her out of fear.,,,,"He's the son of Rhaegar Targaryen and my aunt, Lyanna Stark."
877,,,The Unsullied will be fighting for something greater.,,,,He was born in a tower in Dorne.
878,,,They will be fighting for freedom,,,,"His last name isn't really Snow,"
879,,,and the person who gave it to them.,,,,it's Sand.
880,,,They will be fighting for you.,,,,It's not.
881,,,And that is why they will triumph.,,,,Dornish bastards are named Sand.
882,,,( speaking Valyrian ),,,,"At the Citadel, I transcribed a High Septon's diary."
883,,,( Grey Worm speaking Valyrian ),,,,He annulled Rhaegar's marriage to Elia.
884,,,( distant explosions ),,,,He wed Rhaegar and Lyanna in a secret ceremony.
885,,,Where are they?!,,,,Are you certain?
886,,,Where are the rest of the Lannisters?,,,,It's what the High Septon wrote in his private diary.
887,,,( men shouting ),,,,I don't know why he'd lie.
888,,,( chatter ),,,,Is this something you can see?
889,,,( door opens ),,,,"Rhaegar and Lyanna: Father, Smith, Warrior,"
890,,,- It's done. - It is.,,,,"Mother, Maiden, Crone, Stranger."
891,,,And now the rains weep o'er our halls.,,,,- I am hers and she is mine... - I am his and he is mine...
892,,,Did we fight well?,,,,from this day until the end of my days.
893,,,"Uh, as well as could be expected.",,,,Bran's voice: Robert's Rebellion was built on a lie.
894,,,It was never our forte.,,,,Rhaegar didn't kidnap my aunt or rape her.
895,,,"Golden roses, indeed.",,,,He loved her.
896,,,Your brother and his new queen,,,,And she loved him.
897,,,thought you would be defending Casterly Rock.,,,,- Bran's voice: And Jon... - ( baby crying )
898,,,The truth is Casterly Rock isn't worth much anymore.,,,,Jon's real name...
899,,,"Well, it is to me,",,,,His name is Aegon Targaryen.
900,,,but my fond childhood memories,,,,You have to protect him.
901,,,won't keep Cersei on the throne.,,,,"Promise me, Ned."
902,,,So you just let them take it?,,,,( panting )
903,,,For now. They won't be able to hold it.,,,,Bran's voice: He's never been a bastard.
904,,,"Euron Greyjoy's navy burned their ships,",,,,( panting )
905,,,we emptied the larders before we left.,,,,Bran's voice: He's the heir to the Iron Throne.
906,,,"Eventually, they'll be forced to abandon their position",,,,Bran's voice: He needs to know.
907,,,and march all the way across Westeros.,,,,We need to tell him.
908,,,"And you took your army, your real army,",,,,Are you all right?
909,,,and went where they weren't.,,,,It's just strange.
910,,,As Robb Stark did to me at Whispering Wood.,,,,"In his own horrible way, I believe he loved me."
911,,,There are always lessons in failures.,,,,You did the right thing.
912,,,Yes. You must be very wise by now.,,,,You did it.
913,,,My father always said I was a slow learner.,,,,I'm just the executioner.
914,,,"If he was so clever,",,,,You passed the sentence.
915,,,why didn't he take Highgarden,,,,You're the Lady of Winterfell.
916,,,the moment your gold mines ran dry?,,,,Does that bother you?
917,,,( scoffs ),,,,I was never going to be as good a lady as you.
918,,,I suppose I'll be able to ask him myself soon enough.,,,,So I had to be something else.
919,,,"No more learning from my mistakes, eh?",,,,I never could have survived what you survived.
920,,,How will you do it?,,,,You would have.
921,,,With that sword?,,,,You're the strongest person I know.
922,,,"That was Joffrey's sword, wasn't it?",,,,I believe that's the nicest thing you've ever said to me.
923,,,Not that he ever used it.,,,,"Well, don't get used to it."
